1.000000000000000056e-01,3.885378785258806200e+00,7.927449132646181562e-01,5.676945328764325849e-05
2.000000000000000111e-01,1.362493648559852444e+00,3.808685563329102797e-01,3.325439297954791936e-04
3.000000000000000444e-01,3.432482306860795696e-01,2.279758967701957517e-01,9.096285409581558734e-04
4.000000000000000222e-01,1.063583568990606742e-01,1.493107360885341794e-01,1.821695458537715738e-03
5.000000000000000000e-01,4.330063838069978660e-02,1.027333237473612298e-01,3.075346113764700420e-03
6.000000000000000888e-01,3.109877919334712304e-02,7.292544879219678422e-02,4.659971574470401535e-03
7.000000000000000666e-01,2.644327332607961795e-02,5.289271541166129520e-02,6.553711199690003507e-03
8.000000000000000444e-01,2.556537793396631078e-02,3.897224959452122439e-02,8.727450669046258810e-03
9.000000000000000222e-01,2.922770921621677467e-02,2.906306716232651480e-02,1.114764673133531933e-02
1.000000000000000000e+00,3.022088380123384710e-02,2.188013710014139954e-02,1.377837705947044383e-02
1.100000000000000089e+00,4.002848282827741605e-02,1.659946175813065486e-02,1.658284606186526469e-02
1.200000000000000178e+00,4.895818646320771600e-02,1.267336874547993729e-02,1.952449324690168700e-02
1.300000000000000044e+00,5.371123626293240055e-02,9.727535113850448861e-03,2.256780347199811507e-02
1.400000000000000133e+00,5.720508257093877280e-02,7.500376860189761873e-03,2.567888963685715370e-02
1.500000000000000000e+00,5.323238423087059412e-02,5.805784291581069650e-03,2.882589972582815310e-02
1.600000000000000089e+00,6.032648840956386649e-02,4.509381285693787010e-03,3.197928739362153328e-02
1.700000000000000178e+00,6.135513351547440541e-02,3.512949558527479494e-03,3.511197627843019170e-02
1.800000000000000044e+00,5.974122481482178892e-02,2.743956292657483403e-03,3.819944163343797633e-02
1.900000000000000133e+00,5.982103348683195931e-02,2.148366290545819686e-03,4.121972791820816689e-02
2.000000000000000000e+00,5.481082241062987942e-02,1.685621429343020982e-03,4.415341719814176724e-02
2.100000000000000089e+00,5.975896007526839554e-02,1.325081114673465040e-03,4.698356024394722413e-02
2.200000000000000178e+00,6.022894447710683274e-02,1.043465926374436076e-03,4.969557988781346525e-02
2.300000000000000266e+00,5.864163866712418516e-02,8.230011924865571465e-04,5.227715432810839391e-02
2.400000000000000355e+00,5.867710918801765513e-02,6.500557411628165271e-04,5.471808657219704580e-02
2.500000000000000000e+00,5.421669118566442569e-02,5.141352614445534892e-04,5.701016498854790532e-02
2.600000000000000089e+00,5.946632827789729431e-02,4.071323341575472723e-04,5.914701894581790576e-02
2.700000000000000178e+00,6.163889768262214436e-02,3.227640011081078157e-04,6.112397270335381133e-02
2.800000000000000266e+00,5.826033056751941247e-02,2.561475075017373838e-04,6.293790005000451937e-02
2.900000000000000355e+00,6.093835489497616970e-02,2.034786032284023616e-04,6.458708163929963164e-02
3.000000000000000000e+00,5.356048654913528329e-02,1.617864724864563446e-04,6.607106651752932269e-02
3.100000000000000089e+00,5.759525830076690778e-02,1.287462565194620883e-04,6.739053896994352810e-02
3.200000000000000178e+00,5.909388780851589085e-02,1.025350928741380066e-04,6.854719150535085181e-02
3.300000000000000266e+00,5.724055309183224277e-02,8.172119247193846488e-05,6.954360454958384563e-02
3.400000000000000355e+00,6.039742945135079949e-02,6.517810745668785365e-05,7.038313321437945913e-02
3.500000000000000000e+00,5.497043975465060184e-02,5.201828179113722039e-05,7.106980134258414350e-02
